,keq_m
0,2.2250198026325487e-08
1,1.619226224330462e-08
2,1.3369466140564039e-08
3,1.2210745060225416e-08
4,7.461449295237075e-09
5,5.914265223255617e-09
6,5.6779112111468074e-09
7,1.6772105400251483e-08
8,5.7682243111224156e-09
9,3.787598158859785e-09
10,1.0883571724410524e-08
11,7.1432719297108516e-09
12,4.832206756022548e-09
13,1.3063358237669856e-08
14,3.718324559572818e-08
15,8.286667426034161e-09
16,1.3877305638946532e-08
17,6.829619789525029e-08
18,5.955259848909001e-09
19,1.1431302280918067e-08
20,8.44232335025049e-09
21,9.993433617624176e-09
22,1.7291441072331863e-08
23,9.697436581481268e-09
24,1.2558985668089252e-08
25,7.113971046416357e-09
26,8.02480077409476e-09
27,1.4545688033619833e-08
28,8.283041700126941e-09
29,3.3665165276826024e-08
30,1.2621076681646196e-08
31,1.6843027456296294e-08
32,5.085406697338605e-09
33,7.823943136935212e-09
34,4.227530997523341e-09
35,5.802680569481118e-09
36,1.4616615510247612e-08
37,1.1461091228398103e-08
38,1.0533742502947367e-07
39,9.503452448197878e-09
40,1.0787277654556673e-08
41,1.750328190270236e-08
42,1.4538325906830165e-08
43,6.957697115449249e-09
44,7.1263807706849815e-09
45,1.1709388096773017e-08
46,5.529128507516993e-09
47,1.2668892663012642e-08
48,4.217348423405418e-09
49,9.637767882311828e-09
50,6.379248674981473e-09
