,keq_m
0,0.4300643287185211
1,0.13814848933478646
2,0.7322422710324625
3,0.4760190980292572
4,0.025669046041406
5,0.0035765559449038842
6,0.0017960950993073442
7,3.0623971726964827
8,0.0035395065910455896
9,0.00033480291580391863
10,0.050250376289233366
11,0.008799302141950271
12,0.001484141179216931
13,1.4392961415273628
14,195.76053726904328
15,0.008082312258070464
16,0.3754989684709293
17,409.53218637701116
18,0.011635866251549195
19,0.07819264077672837
20,0.024454485882261186
21,0.01973916776210343
22,0.8471101720247265
23,0.30552706932659146
24,0.4561348002699061
25,0.006508772272364825
26,0.04650393234166439
27,1.5897102114112578
28,0.03424711652443516
29,1.84368100279776
30,0.6934077503792403
31,2.904524926394201
32,0.004004938755689922
33,0.06767398570019004
34,0.0024858506811419505
35,0.0073674044059459706
36,1.1777297878307105
37,0.11650936065161835
38,380.7411744554355
39,0.10958944554815353
40,0.07856700363875481
41,0.022596840801954867
42,1.0743544362779476
43,0.00619963392990132
44,0.018781044514785385
45,0.6431558295489561
46,0.0018705890263582727
47,1.0337017828145765
48,0.0013743304657249768
49,0.18253575053648852
50,0.0125086725311135
