,keq_m
0,1.2103636671033212e-06
1,6.480069451285286e-07
2,6.356909345622256e-07
3,5.421469501149102e-07
4,2.1155558805112527e-07
5,1.0055089366409348e-07
6,9.421939305886137e-08
7,1.2332569379754064e-06
8,9.61915347210215e-08
9,4.126288718721353e-08
10,3.507729828627853e-07
11,1.4960396286699914e-07
12,6.796810344507941e-08
13,6.958614088066814e-07
14,5.0362077521197e-06
15,1.9446364887335802e-07
16,6.52516609540188e-07
17,1.2319463717458094e-05
18,1.3560002789055569e-07
19,3.715422331496324e-07
20,2.06187741847513e-07
21,2.757251793431729e-07
22,1.0293445619759666e-06
23,3.6493334972511383e-07
24,5.717726569034419e-07
25,1.4240328047958875e-07
26,2.1443276471854047e-07
27,8.284940620971666e-07
28,2.290736754066381e-07
29,2.264099862771077e-06
30,6.209595327822864e-07
31,1.053307704427937e-06
32,8.907750446081447e-08
33,2.2791710144970518e-07
34,6.296192239521023e-08
35,1.0876822507519083e-07
36,9.158121098749184e-07
37,3.9478359508012345e-07
38,2.1512848609482472e-05
39,3.0138419568332434e-07
40,3.629358322924527e-07
41,2.3820279708851953e-07
42,6.982118982216936e-07
43,1.378747168103148e-07
44,1.693838418460143e-07
45,6.0808644108135e-07
46,8.785647212730373e-08
47,6.675086419204076e-07
48,5.588962031136013e-08
49,3.64375989958185e-07
50,1.300847907069952e-07
