,keq_m
0,7.473870045900359e-05
1,3.209249133883697e-05
2,4.566353525909813e-05
3,3.6768283790406394e-05
4,8.310617990521604e-06
5,2.4264532139628067e-06
6,2.013284913330484e-06
7,0.0001254640217257478
8,2.27707638935446e-06
9,5.985698329633216e-07
10,1.4411963021890093e-05
11,4.370735556551605e-06
12,1.3498882944286538e-06
13,5.948941162470962e-05
14,0.0010810110851023418
15,5.571366579339839e-06
16,4.226505669097483e-05
17,0.003030584231253885
18,4.442840633937357e-06
19,1.6560111719422424e-05
20,7.189606178518706e-06
21,9.264591815004781e-06
22,7.777172960840501e-05
23,2.279946036540969e-05
24,3.826773492523713e-05
25,3.887525559905333e-06
26,8.75157557265273e-06
27,7.256511763614317e-05
28,8.882312037122733e-06
29,0.0001361121158242804
30,4.605931416573358e-05
31,0.00010878016252218299
32,2.308077886968255e-06
33,1.0582720648888008e-05
34,1.4780745538262726e-06
35,3.0919646397996723e-06
36,7.706079695511407e-05
37,1.9371148229903227e-05
38,0.00473830603378269
39,1.5158851869515344e-05
40,1.6635634663182362e-05
41,5.494649663193892e-06
42,5.3949301776317824e-05
43,3.7872894515657372e-06
44,5.948051544286956e-06
45,4.670549108747266e-05
46,1.7262765312502635e-06
47,5.4615854454969186e-05
48,1.1009638222848449e-06
49,2.1194707086320346e-05
50,4.009114507416399e-06
