,keq_m
0,3.035317046668502e-08
1,3.959754597969272e-08
2,1.0682123144493342e-07
3,1.906430186090033e-08
4,6.42265953808372e-08
5,6.996445499705447e-08
6,4.190840154122419e-08
7,2.7827244691957824e-07
8,4.899896016139344e-08
9,2.868890586950025e-08
10,3.2381516457593605e-08
11,4.3002768446955646e-08
12,8.271516769636365e-08
13,1.2219484056133855e-07
14,5.421821904881377e-08
15,1.808255424496522e-07
16,8.26638105844787e-07
17,8.26908702676534e-08
18,2.984459998184161e-08
19,4.673413141740778e-08
20,6.237098112893205e-07
21,2.9486253386490827e-07
22,6.405351605255477e-08
23,2.379510922081223e-07
24,2.269357751939644e-08
25,2.007597390299624e-08
26,3.3003932246086934e-08
27,3.203347425703826e-08
28,3.374206251663456e-08
29,3.850916537245582e-08
30,1.0162653756444745e-07
31,6.828765887342915e-08
32,6.004024494795549e-08
33,1.2971694328966814e-07
34,4.145932442814154e-08
35,4.334686570907826e-08
36,3.705856784480357e-08
37,4.445722867131007e-08
38,1.5844930410047755e-07
39,5.496741752028954e-08
40,3.873038574198603e-08
41,2.466467663323872e-07
42,4.0659922880338815e-08
43,2.8541713932616163e-08
44,1.1062524749584793e-07
45,9.137794320000383e-08
46,5.3782272202176215e-08
47,5.993003878274078e-08
48,1.4586162014228987e-07
49,2.122630009763121e-08
50,2.0957782873758815e-07
