,keq_m
0,3.582992457639145e-09
1,4.254962255119914e-09
2,6.4625112527859445e-09
3,2.949588495169162e-09
4,5.592616407573188e-09
5,5.44254441173511e-09
6,4.362047683676255e-09
7,1.1235549105365127e-08
8,4.310714653054832e-09
9,3.6698367973328674e-09
10,3.775605729204829e-09
11,4.526223748661316e-09
12,5.8226923287587494e-09
13,7.151459129503769e-09
14,4.631053118216612e-09
15,8.107022532907291e-09
16,1.9612488772882208e-08
17,5.244018863747954e-09
18,3.5925436804720694e-09
19,4.783490615629911e-09
20,1.5914667482432522e-08
21,1.1840491631239526e-08
22,5.253026210574253e-09
23,9.52727564254724e-09
24,3.2016421555677382e-09
25,3.0022159209713905e-09
26,3.834311941403014e-09
27,3.762705367337285e-09
28,3.877178604994245e-09
29,4.195547266962909e-09
30,6.5781818351023335e-09
31,5.2274222692487245e-09
32,5.197226301840259e-09
33,7.220395848323016e-09
34,4.330244871987376e-09
35,4.0193064628541216e-09
36,7.073750724852921e-09
37,4.3358364204535576e-09
38,7.702552370521628e-09
39,4.820770075916046e-09
40,4.352329707830641e-09
41,1.0024982702320629e-08
42,4.155173826720393e-09
43,3.4546199978013583e-09
44,6.947988610955875e-09
45,6.2569219594706375e-09
46,6.386139545009895e-09
47,5.350504124685627e-09
48,7.140600655746983e-09
49,3.106369572289217e-09
50,8.95302994138177e-09
