,keq_m
0,3.328831408477861e-07
1,4.5282484700263216e-07
2,2.2987656423811127e-06
3,1.4227552321414013e-07
4,7.392174237566695e-07
5,1.0277428708169758e-06
6,4.763057903538943e-07
7,7.615401130846463e-06
8,7.348756793610471e-07
9,2.5156396189209005e-07
10,3.439467353812271e-07
11,4.995619143229843e-07
12,1.5323750918635284e-06
13,2.716213392101157e-06
14,8.370204478700927e-07
15,5.5860454623836995e-06
16,3.796032637874981e-05
17,1.6294209105583932e-06
18,3.1499712811413315e-07
19,5.12991675060299e-07
20,3.026066753617649e-05
21,7.925322390175285e-06
22,1.0099278480859928e-06
23,8.144098145843852e-06
24,1.942950354128881e-07
25,1.597212283527024e-07
26,3.523146922835406e-07
27,3.394845847190136e-07
28,3.6032165404529636e-07
29,4.28747083904559e-07
30,2.0103363365579602e-06
31,1.1604892071689757e-06
32,8.413643112516968e-07
33,2.893143039341218e-06
34,4.988828825813244e-07
35,6.07516325025579e-07
36,2.7663811674133823e-07
37,5.888110164620369e-07
38,3.9676830962345636e-06
39,8.071049259328068e-07
40,4.038554360375021e-07
41,8.087371579134797e-06
42,5.110650263546626e-07
43,2.924339782892069e-07
44,2.2124575486708456e-06
45,1.6883049023200467e-06
46,5.457027033056997e-07
47,8.291379216140463e-07
48,4.015457335353587e-06
49,1.6842660938491098e-07
50,6.518814268518645e-06
