,keq_m
0,8.213020356039654e-09
1,1.0167768002848664e-08
2,1.9082737073036493e-08
3,6.168519738827841e-09
4,1.4815773365273794e-08
5,1.4793553407944312e-08
6,1.0575370512031032e-08
7,3.961913650611933e-08
8,1.0980653464879233e-08
9,8.280976803843388e-09
10,8.734774049891183e-09
11,1.0910359779911775e-08
12,1.6231481164421932e-08
13,2.143941701234445e-08
14,1.1942589088347503e-08
15,2.6645645789914804e-08
16,8.560749263153608e-08
17,1.5241446198565292e-08
18,8.185184257184949e-09
19,1.1752134574327265e-08
20,6.623395902685545e-08
21,4.20118786650756e-08
22,1.3836292485855803e-08
23,3.27949631971894e-08
24,6.907385607702167e-09
25,6.34355714017308e-09
26,8.877298268037539e-09
27,8.678339444023632e-09
28,9.021803224589191e-09
29,9.988646529703451e-09
30,1.8956905486094178e-08
31,1.4073084972752735e-08
32,1.3522082192968291e-08
33,2.2132921811514287e-08
34,1.0436610849910584e-08
35,1.0040958236123444e-08
36,1.3830686711371777e-08
37,1.0678718981299141e-08
38,2.4843885362418403e-08
39,1.2378442419733468e-08
40,1.0274382843683995e-08
41,3.450748721312364e-08
42,1.0058826251228124e-08
43,7.866642050044196e-09
44,2.033879375344913e-08
45,1.767377156037549e-08
46,1.5194106114780708e-08
47,1.372898553500564e-08
48,2.2724622885875716e-08
49,6.628672017768507e-09
50,3.0163375433695607e-08
