,keq_m
0,9.012294745616026e-05
1,0.00011443292112148184
2,0.0019853197153208773
3,1.4604090128808121e-05
4,0.00011942836370733483
5,0.0003248378139069689
6,0.0001020766592517956
7,0.007605431535964477
8,0.0003060345221719001
9,3.125173743958495e-05
10,7.847071372998978e-05
11,0.00013004353644438676
12,0.001039309181058555
13,0.002759069717238204
14,0.00038069175535435096
15,0.010867208472946765
16,0.1044206913614529
17,0.0010258331586348074
18,7.416735287095885e-05
19,9.384043365227192e-05
20,0.1175450645961505
21,0.0073484239875318035
22,0.0005155594319879057
23,0.018890012528606004
24,2.9107140175407453e-05
25,2.0269867117547367e-05
26,7.960108981073331e-05
27,7.91187546649605e-05
28,7.721276694711976e-05
29,0.00010336128963035108
30,0.0013948416013032216
31,0.0005789659692375603
32,0.0002976490444780379
33,0.002417119068491023
34,0.00014915710070742663
35,0.00020947798455332807
36,3.5566357437133336e-05
37,0.00020610301188800804
38,0.003582699885133176
39,0.00035419504064986685
40,7.644632680892613e-05
41,0.017609196194438875
42,0.00016460902098886914
43,5.931204594017459e-05
44,0.0016139159876806177
45,0.001032039988831701
46,0.00016706493521644113
47,0.000308026601643889
48,0.005706181126580937
49,1.8889599716787632e-05
50,0.011932865411186029
